src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.137.67,64.233.170.188,53163,5228,6,2023-11-25 00:49:59,99928.14064025879,1210.8701235180577,20.014382206910046,10.007191103455023,10.007191103455023,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,66,55,60.5,5.5,30.25,20,20,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,60.5,1023,265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,66.0,0,1,1,55,66
192.168.137.67,140.82.112.26,53266,443,6,2023-11-25 00:50:07,3989.9349212646484,30326.309172393187,501.26130863459815,250.63065431729908,250.63065431729908,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,66,55,60.5,5.5,30.25,20,20,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,60.5,1023,160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,66.0,0,1,1,55,66
157.240.16.52,192.168.137.67,443,52466,6,2023-11-25 00:48:51,116696772.09854126,23.31684031244951,0.22279965017408573,0.11139982508704287,0.11139982508704287,13,13,1525,1196,329.0,54.0,117.3076923076923,80.7592667846708,126.0,54.0,92.0,35.18741033599725,329,54,104.65384615384616,63.56277472987587,4040.2263313609465,260,260,20,7,4667870.88394165,29651458.978652954,725.0308990478516,9218762.783758106,87941418.17092896,29700520.038604736,50976.03797912598,7328451.51424408,10031910.081191873,116651181.93626404,29651458.978652954,725.0308990478516,9720931.828022003,11322254.21996203,0,0,0,0,1,0,0,0,0,0,0,1.0,104.65384615384616,466,508,27402714.014053345,11633522.987365723,19518118.500709534,7884595.513343811,29651458.978652954,11900089.979171753,22583691.994349163,7684767.294971924,0.0,0.0,0.0,0.0,0.0,0.0,117.3076923076923,92.0,0,13,13,1525,1196
192.168.137.206,239.255.255.250,64807,1900,17,2023-11-25 00:50:05,3072035.074234009,282.54885736173765,1.3020684671047817,1.3020684671047817,0.0,4,0,868,0,217.0,217.0,217.0,0.0,0.0,0.0,0.0,0.0,217,217,217.0,0.0,0.0,32,0,8,4,1024011.6914113363,1228703.9756774902,921632.0514678955,144739.3048453559,3072035.074234009,1228703.9756774902,921632.0514678955,1024011.6914113363,144739.3048453559,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,217.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,0.0,0,4,0,868,0
192.168.137.67,52.123.168.227,52459,443,6,2023-11-25 00:49:01,120452300.07171631,8.92469466635302,0.10792654015124582,0.058114290850670824,0.04981224930057499,7,6,610,465,112.0,54.0,87.14285714285714,28.702556239712823,101.0,54.0,77.5,23.5,112,54,82.6923076923077,26.86256936959111,721.5976331360946,140,120,20,4,10037691.672643026,39968242.88368225,2871.990203857422,17276883.748920057,120452300.07171631,39968242.88368225,181878.08990478516,20075383.345286053,19886628.609800663,80442832.94677734,40013012.88604736,136620.04470825195,16088566.589355469,19533827.834882136,0,0,0,0,1,0,0,0,0,0,0,0.8571428571428571,82.6923076923077,508,154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.14285714285714,77.5,0,7,6,610,465
192.168.137.67,20.207.73.82,53270,443,6,2023-11-25 00:50:19,2012737.0357513428,3958.78838540157,17.886092102717935,8.446210159616804,9.439881943101133,17,19,2410,5558,571.0,54.0,141.76470588235293,133.8425455138215,1478.0,54.0,292.5263157894737,437.1887907771235,1478,54,221.33333333333334,339.11699062909446,115000.33333333336,340,380,20,8,57506.77245003836,481455.08766174316,0.0,119995.80662913615,2012737.0357513428,481455.08766174316,108.00361633300781,125796.06473445892,165042.59158856174,2009277.8205871582,533930.0632476807,0.0,111626.54558817546,170192.36582306217,0,0,0,0,1,0,0,0,0,0,0,1.1176470588235294,221.33333333333334,64240,156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.76470588235293,292.5263157894737,0,17,19,2410,5558
140.82.112.26,192.168.137.67,443,53266,6,2023-11-25 00:50:22,27060.03189086914,7982.252233519534,110.86461435443796,73.90974290295864,36.95487145147932,2,1,133,83,79.0,54.0,66.5,12.5,83.0,83.0,83.0,0.0,83,54,72.0,12.832251036613439,164.66666666666666,40,20,20,1,13530.01594543457,26756.04820251465,303.9836883544922,13226.032257080078,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,72.0,160,1023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.5,83.0,0,2,1,133,83
192.168.137.67,52.113.194.132,53262,443,6,2023-11-25 00:50:28,3044.8436737060547,35469.801268498944,656.8481716388693,328.42408581943465,328.42408581943465,1,1,54,54,54.0,54.0,54.0,0.0,54.0,54.0,54.0,0.0,54,54,54.0,0.0,0.0,20,20,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,54.0,1024,141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0,0,1,1,54,54
192.168.137.67,34.120.214.181,53246,443,6,2023-11-25 00:50:35,3350.0194549560547,36119.19322468152,597.0114582591987,298.50572912959933,298.50572912959933,1,1,55,66,55.0,55.0,55.0,0.0,66.0,66.0,66.0,0.0,66,55,60.5,5.5,30.25,20,20,20,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,60.5,1020,168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,66.0,0,1,1,55,66
192.168.137.230,239.255.255.250,53086,1900,17,2023-11-25 00:50:33,3071516.0369873047,279.9920266226351,1.302288495919233,1.302288495919233,0.0,4,0,860,0,215.0,215.0,215.0,0.0,0.0,0.0,0.0,0.0,215,215,215.0,0.0,0.0,32,0,8,4,1023838.6789957682,1228132.963180542,921272.0394134521,144458.27976979117,3071516.0369873047,1228132.963180542,921272.0394134521,1023838.6789957682,144458.27976979117,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,215.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,0.0,0,4,0,860,0
